optimizer,rank,memory_mb,memory_bytes,savings_mb,savings_pct
Adam,,510.8265838623047,535640496,0,0
rSVDAdam,4,2.9188766479492188,3060664,507.90770721435547,99.4285973478749
rSVDAdam,8,5.365074157714844,5625688,505.46150970458984,98.9497269078774
rSVDAdam,16,10.249656677246094,10747544,500.5769271850586,97.99351541187431
rSVDAdam,64,39.572776794433594,41495064,471.2538070678711,92.25318766787193
rSVDAdam,128,78.6728744506836,82494488,432.1537094116211,84.59890754787143
