-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       aten::native_layer_norm_backward         0.35%      56.244ms         1.07%     174.921ms      67.277us     159.581ms         1.08%     191.672ms      73.720us           0 b           0 b      30.48 Gb           0 b          2600  
                               NativeLayerNormBackward0         0.09%      14.952ms         1.17%     189.762ms      72.985us       0.000us         0.00%     191.489ms      73.650us           0 b           0 b      30.48 Gb      36.02 Mb          2600  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     181.433ms         1.22%     181.433ms     151.194us           0 b           0 b           0 b           0 b          1200  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     173.416ms         1.17%     173.416ms      22.818us           0 b           0 b           0 b           0 b          7600  
void geqr2_smem_domino_fast<float, float, 8, 1024>(i...         0.00%       0.000us         0.00%       0.000us       0.000us     156.566ms         1.06%     156.566ms       1.204ms           0 b           0 b           0 b           0 b           130  
                                             aten::mul_         0.60%      98.109ms         1.06%     173.152ms      11.099us      39.209ms         0.26%     147.199ms       9.436us         408 b         408 b           0 b           0 b         15600  
void gesvdbj_batch_32x16<float, float>(int, int cons...         0.00%       0.000us         0.00%       0.000us       0.000us     143.133ms         0.97%     143.133ms      41.201us           0 b           0 b           0 b           0 b          3474  
     autograd::engine::evaluate_function: GeluBackward0         0.10%      16.898ms         0.38%      61.831ms      51.526us       0.000us         0.00%     140.491ms     117.076us           0 b           0 b     -56.25 Gb    -112.59 Gb          1200  
                                    aten::gelu_backward         0.16%      25.360ms         0.24%      39.868ms      33.223us     127.890ms         0.86%     140.491ms     117.076us           0 b           0 b      56.25 Gb      56.25 Gb          1200  
                                          GeluBackward0         0.03%       5.065ms         0.28%      44.900ms      37.417us       0.000us         0.00%     140.281ms     116.901us           0 b           0 b      56.25 Gb      96.00 Mb          1200  
     autograd::engine::evaluate_function: ViewBackward0         0.99%     161.972ms         2.38%     387.165ms      19.957us       0.000us         0.00%     132.940ms       6.853us           0 b           0 b     -56.23 Gb     -56.23 Gb         19400  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.03%       4.993ms         0.82%     133.151ms     332.877us       0.000us         0.00%     131.384ms     328.460us           0 b           0 b      15.44 Gb      -2.42 Gb           400  
                         aten::embedding_dense_backward         0.25%      40.204ms         0.77%     125.342ms     313.355us      32.135ms         0.22%     131.384ms     328.460us           0 b           0 b      17.86 Gb      -2.62 Gb           400  
                                     EmbeddingBackward0         0.01%       1.356ms         0.79%     128.087ms     320.217us       0.000us         0.00%     131.367ms     328.418us           0 b           0 b      17.86 Gb     -89.42 Mb           400  
                               aten::embedding_backward         0.01%       1.460ms         0.78%     126.435ms     316.087us       0.000us         0.00%     131.157ms     327.892us           0 b           0 b      17.86 Gb      93.42 Mb           400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     127.890ms         0.86%     127.890ms     106.575us           0 b           0 b           0 b           0 b          1200  
                                             aten::gelu         0.10%      16.146ms         0.15%      24.513ms      20.427us      85.229ms         0.58%      94.957ms      79.131us           0 b           0 b      56.25 Gb      56.25 Gb          1200  
void at::native::(anonymous namespace)::GammaBetaBac...         0.00%       0.000us         0.00%       0.000us       0.000us      94.738ms         0.64%      94.738ms      36.438us           0 b           0 b           0 b           0 b          2600  
                            cudaStreamGetCaptureInfo_v2         0.00%       6.000us         0.00%       6.000us       0.001us      88.799ms         0.60%      88.799ms      19.751us           0 b           0 b           0 b           0 b          4496  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      85.229ms         0.58%      85.229ms      71.024us           0 b           0 b           0 b           0 b          1200  
                                        cudaMemsetAsync         0.54%      88.543ms         0.54%      88.543ms       8.249us      82.384ms         0.56%      83.778ms       7.805us           0 b           0 b     146.00 Kb     146.00 Kb         10734  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.08%      13.340ms         0.08%      13.340ms       1.512us      79.779ms         0.54%      79.779ms       9.045us           0 b           0 b           0 b           0 b          8820  
                                            aten::copy_         0.30%      48.447ms         1.20%     195.818ms      32.054us      14.032ms         0.09%      75.826ms      12.412us       1.53 Mb       1.53 Mb           0 b           0 b          6109  
                                              aten::div         0.49%      79.395ms         0.73%     119.524ms      14.941us      12.974ms         0.09%      75.390ms       9.424us        -280 b        -280 b       3.99 Gb       3.99 Gb          8000  
                                              aten::add         0.23%      37.919ms         0.34%      55.466ms      19.462us      54.467ms         0.37%      71.250ms      25.000us           0 b           0 b      30.47 Gb      30.47 Gb          2850  
                                aten::native_layer_norm         0.30%      49.067ms         0.61%      99.838ms      38.399us      55.289ms         0.37%      71.176ms      27.375us           0 b           0 b      30.55 Gb           0 b          2600  
                                       aten::layer_norm         0.02%       4.012ms         0.63%     102.836ms      39.552us       0.000us         0.00%      70.577ms      27.145us           0 b           0 b      30.55 Gb     336.88 Mb          2600  
                                            aten::fill_         0.14%      23.176ms         0.30%      48.251ms      16.202us      39.063ms         0.26%      68.629ms      23.045us           0 b           0 b           0 b           0 b          2978  
                                            aten::zero_         0.08%      12.383ms         0.36%      58.438ms      21.036us       0.000us         0.00%      67.149ms      24.172us           0 b           0 b           0 b           0 b          2778  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us      64.843ms         0.44%      64.843ms      24.940us           0 b           0 b           0 b           0 b          2600  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      63.598ms         0.43%      63.598ms       2.650ms           0 b           0 b           0 b           0 b            24  
                                        cudaMemcpyAsync        53.84%        8.766s        53.84%        8.766s       1.409ms      55.717ms         0.38%      55.717ms       8.955us           0 b           0 b           0 b           0 b          6222  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      55.289ms         0.37%      55.289ms      21.265us           0 b           0 b           0 b           0 b          2600  
                                         aten::_to_copy         0.08%      12.834ms         1.12%     183.134ms      52.746us       0.000us         0.00%      48.693ms      14.024us      12.56 Mb       1.44 Mb     501.09 Mb           0 b          3472  
void svd_column_rotate_batch_32x16<float, 5, 3>(int,...         0.00%       0.000us         0.00%       0.000us       0.000us      46.772ms         0.32%      46.772ms       6.732us           0 b           0 b           0 b           0 b          6948  
                                               aten::to         0.04%       5.988ms         1.15%     187.234ms       5.832us       0.000us         0.00%      45.833ms       1.428us      12.56 Mb       1.09 Mb     501.09 Mb      22.47 Mb         32106  
                              aten::_local_scalar_dense         0.07%      11.032ms        51.11%        8.322s     917.277us       2.667ms         0.02%      45.360ms       4.999us           0 b           0 b           0 b           0 b          9073  
                                             aten::item         0.75%     122.698ms        51.14%        8.327s     917.747us       0.000us         0.00%      45.016ms       4.962us           0 b           0 b      -2.00 Kb      -2.00 Kb          9073  
                                  cudaStreamSynchronize         0.68%     110.131ms         0.68%     110.131ms      19.558us      43.934ms         0.30%      43.934ms       7.802us           0 b           0 b           0 b           0 b          5631  
                                  cudaStreamIsCapturing         0.02%       3.227ms         0.02%       3.227ms       0.602us      43.285ms         0.29%      43.285ms       8.071us           0 b           0 b           0 b           0 b          5363  
                                         aten::addcmul_         0.19%      30.211ms         0.32%      52.758ms      10.146us       7.503ms         0.05%      42.330ms       8.140us           0 b           0 b           0 b           0 b          5200  
                                   aten::native_dropout         0.16%      25.611ms         0.35%      57.517ms      35.948us      22.292ms         0.15%      40.083ms      25.052us           0 b           0 b      20.67 Gb      -2.58 Gb          1600  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      39.264ms         0.26%      39.264ms       2.509us           0 b           0 b           0 b           0 b         15650  
                                             aten::sqrt         0.29%      47.731ms         0.43%      70.184ms      13.497us       7.756ms         0.05%      37.992ms       7.306us           0 b           0 b       2.13 Gb       2.13 Gb          5200  
                                          aten::dropout         0.04%       6.026ms         0.37%      60.323ms      37.702us       0.000us         0.00%      37.646ms      23.529us           0 b           0 b      20.67 Gb       1.26 Gb          1600  
                                              aten::mul         0.14%      23.588ms         0.26%      42.938ms      34.350us      26.057ms         0.18%      36.395ms      29.116us           0 b           0 b      14.06 Gb      14.06 Gb          1250  
                        ampere_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      33.803ms         0.23%      33.803ms      22.007us           0 b           0 b           0 b           0 b          1536  
autograd::engine::evaluate_function: NativeDropoutBa...         0.11%      17.736ms         0.55%      90.202ms      56.376us       0.000us         0.00%      32.033ms      20.021us           0 b           0 b       9.82 Gb      -6.70 Gb          1600  
                          aten::native_dropout_backward         0.17%      27.596ms         0.40%      65.856ms      41.160us      21.793ms         0.15%      32.033ms      20.021us           0 b           0 b      16.42 Gb    -120.00 Mb          1600  
                                 NativeDropoutBackward0         0.04%       6.610ms         0.44%      72.318ms      45.199us       0.000us         0.00%      31.902ms      19.939us           0 b           0 b      16.42 Gb      96.00 Mb          1600  
                                            aten::zeros         0.04%       5.781ms         0.25%      41.455ms      33.164us       0.000us         0.00%      30.517ms      24.414us           0 b           0 b      22.69 Gb           0 b          1250  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us      29.230ms         0.20%      29.230ms       8.597us           0 b           0 b           0 b           0 b          3400  
void svd_row_rotate_batch_32x16<float>(int, int cons...         0.00%       0.000us         0.00%       0.000us       0.000us      26.480ms         0.18%      26.480ms       7.622us           0 b           0 b           0 b           0 b          3474  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.007ms         0.18%      26.007ms      21.672us           0 b           0 b           0 b           0 b          1200  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      25.677ms         0.17%      25.677ms      21.398us           0 b           0 b           0 b           0 b          1200  
