-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.08%      12.581ms         3.54%     555.120ms      40.974us       0.000us         0.00%       2.692ms       0.199us       3.19 MB           0 B     126.63 MB           0 B         13548  
                                         aten::_to_copy         0.09%      14.721ms         3.46%     542.539ms     230.867us       0.000us         0.00%       2.692ms       1.145us       3.19 MB           0 B     126.63 MB           0 B          2350  
                                            aten::copy_         0.17%      26.085ms         3.29%     515.931ms     177.785us       4.843ms         0.03%       4.843ms       1.669us           0 B           0 B           0 B           0 B          2902  
                                           aten::select         0.09%      13.452ms         0.11%      17.921ms       3.587us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4996  
                                       aten::as_strided         0.24%      38.081ms         0.24%      38.081ms       1.221us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         31187  
                                           aten::detach         0.09%      14.649ms         0.20%      31.504ms       3.105us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         10146  
                                                 detach         0.11%      16.855ms         0.11%      16.855ms       1.661us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         10146  
                                          aten::detach_         0.03%       4.873ms         0.05%       7.640ms       3.469us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2202  
                                                detach_         0.02%       2.767ms         0.02%       2.767ms       1.257us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2202  
                                       aten::pin_memory         0.01%       1.296ms         0.06%       8.777ms      57.365us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           153  
                                        aten::is_pinned         0.01%       1.376ms         0.03%       4.001ms      26.152us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           153  
                                Activity Buffer Request         0.10%      15.653ms         0.10%      15.653ms       1.957ms     339.578us         0.00%     339.578us      42.447us           0 B           0 B           0 B           0 B             8  
                               cudaPointerGetAttributes         0.00%     527.934us         0.00%     527.934us       3.451us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           153  
                                      aten::_pin_memory         0.01%       1.975ms         0.02%       3.479ms      22.741us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           153  
                                             aten::set_         0.00%     321.393us         0.00%     321.393us       2.101us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           153  
                                        cudaMemcpyAsync         0.31%      47.929ms         0.31%      47.929ms      11.021us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4349  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     537.046us         0.00%     537.046us       3.580us           0 B           0 B           0 B           0 B           150  
                                  cudaStreamSynchronize        77.32%       12.112s        77.32%       12.112s       2.817ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4300  
                                        aten::embedding         0.01%       1.801ms         0.07%      11.365ms     113.648us       0.000us         0.00%       4.197ms      41.973us           0 B           0 B     618.75 MB           0 B           100  
                                          aten::reshape         0.07%      10.737ms         0.19%      29.345ms       4.347us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6750  
                                             aten::view         0.37%      57.576ms         0.37%      57.576ms       3.319us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         17350  
                                     aten::index_select         0.02%       2.796ms         0.06%       8.924ms      89.242us       0.000us         0.00%       4.197ms      41.973us           0 B           0 B     618.75 MB           0 B           100  
                                           aten::expand         0.01%       1.837ms         0.02%       2.480ms       5.597us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           443  
                                           aten::gather         0.01%       1.972ms         0.03%       4.026ms      40.260us       4.197ms         0.03%       4.197ms      41.973us           0 B           0 B           0 B           0 B           100  
                                       cudaLaunchKernel         3.28%     513.189ms         3.98%     622.944ms       8.830us       0.000us         0.00%      11.682ms       0.166us           0 B           0 B           0 B           0 B         70546  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       4.197ms         0.03%       4.197ms      41.973us           0 B           0 B           0 B           0 B           100  
                                            aten::slice         0.00%     527.613us         0.00%     604.202us      12.084us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            50  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.379ms         0.04%       5.379ms     107.579us           0 B           0 B           0 B           0 B            50  
                                       aten::layer_norm         0.01%       1.941ms         0.24%      38.368ms      59.027us       0.000us         0.00%      72.333ms     111.282us           0 B           0 B       7.64 GB           0 B           650  
                                aten::native_layer_norm         0.10%      15.861ms         0.23%      36.427ms      56.041us      72.333ms         0.50%      72.333ms     111.282us           0 B           0 B       7.64 GB           0 B           650  
                                  cudaStreamIsCapturing         0.01%       2.196ms         0.01%       2.196ms       1.063us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2067  
                                             cudaMalloc         0.06%       9.963ms         0.06%       9.963ms     148.699us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            67  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      72.333ms         0.50%      72.333ms     111.282us           0 B           0 B           0 B           0 B           650  
                                          aten::dropout         0.01%       1.591ms         0.27%      42.218ms     105.546us       0.000us         0.00%      45.313ms     113.282us           0 B           0 B       5.23 GB           0 B           400  
                                   aten::native_dropout         0.07%      10.795ms         0.26%      40.627ms     101.568us      44.936ms         0.31%      45.313ms     113.282us           0 B           0 B       5.23 GB           0 B           400  
                                       aten::empty_like         0.02%       3.864ms         0.10%      15.681ms       9.229us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       9.49 GB           0 B          1699  
                       Runtime Triggered Module Loading         1.11%     173.304ms         1.11%     173.304ms      10.832ms       6.945ms         0.05%       6.945ms     434.057us           0 B           0 B           0 B           0 B            16  
                                  Lazy Function Loading         0.01%       1.020ms         0.01%       1.020ms      84.996us       4.481ms         0.03%       4.481ms     373.423us           0 B           0 B           0 B           0 B            12  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      44.936ms         0.31%      44.936ms     112.340us           0 B           0 B           0 B           0 B           400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     123.135us         0.00%     123.135us       2.463us           0 B           0 B           0 B           0 B            50  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     284.797us         0.00%     284.797us       5.696us           0 B           0 B           0 B           0 B            50  
                                       aten::is_nonzero         0.00%     552.655us        74.36%       11.648s      77.653ms       0.000us         0.00%     222.815us       1.485us           0 B           0 B           0 B           0 B           150  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.068ms         0.02%       3.068ms       1.427us           0 B           0 B           0 B           0 B          2150  
                                        aten::unsqueeze         0.05%       7.198ms         0.07%      11.722ms       2.213us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5298  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     634.265us         0.00%     634.265us      12.944us           0 B           0 B           0 B           0 B            49  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     348.190us         0.00%     348.190us       7.106us           0 B           0 B           0 B           0 B            49  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     518.738us         0.00%     518.738us      10.586us           0 B           0 B           0 B           0 B            49  
                                      aten::masked_fill         0.00%     421.064us         0.02%       3.139ms      64.063us       0.000us         0.00%     679.988us      13.877us           0 B           0 B      98.00 MB           0 B            49  
                                            aten::clone         0.01%       1.516ms         0.07%      11.094ms      31.788us       0.000us         0.00%       1.883ms       5.394us           0 B           0 B     154.25 MB           0 B           349  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     368.726us         0.00%     368.726us       7.525us           0 B           0 B           0 B           0 B            49  
                                     aten::masked_fill_         0.00%     508.267us         0.01%     964.029us      19.674us     311.262us         0.00%     311.262us       6.352us           0 B           0 B           0 B           0 B            49  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     311.262us         0.00%     311.262us       6.352us           0 B           0 B           0 B           0 B            49  
                                           aten::linear         0.08%      12.679ms         0.93%     145.523ms      76.591us       0.000us         0.00%        3.318s       1.746ms           0 B           0 B      31.65 GB           0 B          1900  
                                                aten::t         0.20%      31.630ms         0.41%      64.399ms       6.779us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          9500  
                                        aten::transpose         0.29%      45.558ms         0.44%      68.993ms       3.876us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         17800  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us        3.315s        23.11%        3.315s       1.842ms           0 B           0 B           0 B           0 B          1800  
                     aten::scaled_dot_product_attention         0.02%       3.738ms         0.20%      31.848ms     106.158us       0.000us         0.00%     233.725ms     779.085us       4.69 KB           0 B       3.57 GB           0 B           300  
          aten::_scaled_dot_product_efficient_attention         0.04%       5.733ms         0.17%      26.506ms      88.352us       0.000us         0.00%     233.725ms     779.085us       4.69 KB           0 B       3.57 GB           0 B           300  
                     aten::_efficient_attention_forward         0.04%       6.467ms         0.11%      17.519ms      58.395us     233.725ms         1.63%     233.725ms     779.085us       4.69 KB           0 B       3.57 GB           0 B           300  
fmha_cutlassF_f32_aligned_64x64_rf_sm75(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     233.725ms         1.63%     233.725ms     779.085us           0 B           0 B           0 B           0 B           300  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.04%       5.576ms         0.04%       5.576ms       1.859us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          3000  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     452.725ms         3.16%     452.725ms      50.025us           0 B           0 B           0 B           0 B          9050  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     126.865ms         0.88%     126.865ms     422.884us           0 B           0 B           0 B           0 B           300  
                                             aten::relu         0.00%     681.924us         0.01%       2.297ms      45.937us       0.000us         0.00%     128.158us       2.563us           0 B           0 B       4.69 MB           0 B            50  
                               aten::cross_entropy_loss         0.00%     405.154us         0.03%       4.667ms      93.332us       0.000us         0.00%     328.186us       6.564us           0 B           0 B      75.00 KB           0 B            50  
                                      aten::log_softmax         0.00%     332.696us         0.01%       2.192ms      43.836us       0.000us         0.00%     124.541us       2.491us           0 B           0 B      25.00 KB           0 B            50  
                                      aten::nll_loss_nd         0.00%     206.116us         0.01%       2.070ms      41.392us       0.000us         0.00%     203.645us       4.073us           0 B           0 B      50.00 KB           0 B            50  
                                         aten::nll_loss         0.00%     180.982us         0.01%       1.864ms      37.270us       0.000us         0.00%     203.645us       4.073us           0 B           0 B      50.00 KB           0 B            50  
                                        aten::ones_like         0.00%     278.633us         0.01%       1.863ms      37.267us       0.000us         0.00%     101.312us       2.026us           0 B           0 B      25.00 KB           0 B            50  
                                            aten::fill_         0.02%       2.926ms         0.04%       6.411ms      21.369us      23.412ms         0.16%      23.412ms      78.041us           0 B           0 B           0 B           0 B           300  
                                           DivBackward0         0.01%       1.540ms         0.04%       5.912ms      59.118us       0.000us         0.00%     216.282us       2.163us           0 B           0 B      50.00 KB           0 B           100  
                                       NllLossBackward0         0.00%     358.270us         0.02%       2.888ms      57.758us       0.000us         0.00%     235.419us       4.708us           0 B           0 B      25.00 KB           0 B            50  
                                            aten::zero_         0.01%       1.223ms         0.04%       6.648ms      26.592us       0.000us         0.00%      23.311ms      93.243us           0 B           0 B           0 B           0 B           250  
                                    LogSoftmaxBackward0         0.01%     787.937us         0.01%       2.042ms      40.836us       0.000us         0.00%     117.279us       2.346us           0 B           0 B      25.00 KB           0 B            50  
                                          ViewBackward0         0.06%       9.307ms         0.18%      27.979ms       5.769us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          4850  
                                         AddmmBackward0         0.15%      22.811ms         1.30%     203.395ms     107.050us       0.000us         0.00%        7.168s       3.773ms           0 B           0 B      40.16 GB           0 B          1900  
autograd::engine::evaluate_function: torch::autograd...         0.18%      28.903ms         0.40%      62.407ms      12.001us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5200  
                        torch::autograd::AccumulateGrad         0.10%      15.018ms         0.21%      33.504ms       6.443us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          5200  
        autograd::engine::evaluate_function: TBackward0         0.07%      11.439ms         0.18%      27.923ms      14.696us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1900  
                                             TBackward0         0.03%       4.173ms         0.11%      16.484ms       8.676us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1900  
                                 NativeDropoutBackward0         0.01%       1.535ms         0.09%      13.535ms      33.838us       0.000us         0.00%      38.705ms      96.762us           0 B           0 B       4.11 GB           0 B           400  
                          aten::native_dropout_backward         0.03%       4.935ms         0.08%      12.000ms      30.000us      38.705ms         0.27%      38.705ms      96.762us           0 B           0 B       4.11 GB           0 B           400  
                                          ReluBackward0         0.00%     316.701us         0.01%       1.747ms      34.942us       0.000us         0.00%     133.505us       2.670us           0 B           0 B       4.69 MB           0 B            50  
