-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.24%     222.446ms         1.79%     320.057ms      41.033us        9.544s        56.49%        9.545s       1.224ms           0 B           0 B      55.34 GB      55.34 GB          7800  
                                            aten::empty         0.35%      63.038ms         0.37%      65.819ms       5.724us       0.000us         0.00%       0.000us       0.000us       3.41 MB       3.41 MB      42.88 GB      42.88 GB         11499  
                                            aten::addmm         0.41%      73.732ms         0.55%      98.273ms      51.723us        3.974s        23.52%        3.974s       2.092ms           0 B           0 B      31.65 GB      31.65 GB          1900  
                                             aten::gelu         0.03%       5.907ms         0.05%       9.606ms      32.021us     126.095ms         0.75%     126.095ms     420.315us           0 B           0 B      14.06 GB      14.06 GB           300  
                                    aten::gelu_backward         0.03%       4.622ms         0.04%       7.661ms      25.536us     182.340ms         1.08%     182.340ms     607.801us           0 B           0 B      14.06 GB      14.06 GB           300  
                                              aten::add         0.08%      14.077ms         0.12%      21.418ms      28.558us      99.581ms         0.59%      99.581ms     132.774us           0 B           0 B       7.62 GB       7.62 GB           750  
                                    aten::empty_strided         0.14%      24.447ms         0.14%      25.462ms       7.967us       0.000us         0.00%       0.000us       0.000us       3.19 MB       3.19 MB       5.28 GB       5.28 GB          3196  
                                              aten::div         0.47%      83.399ms         0.75%     134.472ms      18.172us      42.109ms         0.25%      42.114ms       5.691us           0 B           0 B       3.83 GB       3.83 GB          7400  
                                              aten::mul         0.03%       4.893ms         0.05%       8.829ms      25.226us      44.064ms         0.26%      44.064ms     125.896us           0 B           0 B       3.52 GB       3.52 GB           350  
                                             aten::sqrt         0.35%      61.897ms         0.54%      97.047ms      18.663us      18.556ms         0.11%      18.556ms       3.569us           0 B           0 B       1.96 GB       1.96 GB          5200  
