-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
     autograd::engine::evaluate_function: ViewBackward0         0.22%      33.960ms         0.56%      87.456ms      18.032us       0.000us         0.00%     176.381ms      36.367us           0 B           0 B     -14.06 GB     -14.06 GB          4850  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     160.081ms         1.12%     160.081ms      10.229us           0 B           0 B           0 B           0 B         15650  
                                             aten::mul_         0.84%     132.351ms         1.53%     240.143ms      15.394us     159.978ms         1.12%     160.006ms      10.257us           0 B           0 B           0 B           0 B         15600  
                                             aten::gelu         0.04%       5.973ms         0.06%       9.760ms      32.535us     126.865ms         0.88%     126.865ms     422.884us           0 B           0 B      14.06 GB      14.06 GB           300  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     126.865ms         0.88%     126.865ms     422.884us           0 B           0 B           0 B           0 B           300  
                                    aten::_foreach_mul_         0.03%       4.092ms         0.09%      13.467ms     269.347us     113.806ms         0.79%     120.806ms       2.416ms           0 B           0 B           0 B           0 B            50  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     113.806ms         0.79%     113.806ms     569.030us           0 B           0 B           0 B           0 B           200  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us     112.924ms         0.79%     112.924ms     173.729us           0 B           0 B           0 B           0 B           650  
                                              aten::add         0.09%      14.170ms         0.14%      21.728ms      28.971us      99.928ms         0.70%      99.928ms     133.238us           0 B           0 B       7.62 GB       7.62 GB           750  
                                       aten::layer_norm         0.01%       1.941ms         0.24%      38.368ms      59.027us       0.000us         0.00%      72.333ms     111.282us           0 B           0 B       7.64 GB           0 B           650  
                                aten::native_layer_norm         0.10%      15.861ms         0.23%      36.427ms      56.041us      72.333ms         0.50%      72.333ms     111.282us           0 B           0 B       7.64 GB           0 B           650  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us      72.333ms         0.50%      72.333ms     111.282us           0 B           0 B           0 B           0 B           650  
void at::native::(anonymous namespace)::GammaBetaBac...         0.00%       0.000us         0.00%       0.000us       0.000us      71.864ms         0.50%      71.864ms     110.560us           0 B           0 B           0 B           0 B           650  
                                    aten::_foreach_norm         0.14%      22.523ms         0.24%      37.575ms     751.504us      50.488ms         0.35%      54.601ms       1.092ms           0 B           0 B       2.54 MB      -4.57 MB            50  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      50.163ms         0.35%      50.163ms     250.813us           0 B           0 B           0 B           0 B           200  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.01%       1.064ms         0.16%      25.119ms     251.191us       0.000us         0.00%      46.417ms     464.173us           0 B           0 B       3.86 GB    -618.75 MB           100  
                                     EmbeddingBackward0         0.00%     545.607us         0.15%      24.055ms     240.554us       0.000us         0.00%      46.417ms     464.173us           0 B           0 B       4.47 GB           0 B           100  
                               aten::embedding_backward         0.00%     278.068us         0.15%      23.510ms     235.098us       0.000us         0.00%      46.417ms     464.173us           0 B           0 B       4.47 GB           0 B           100  
                         aten::embedding_dense_backward         0.04%       6.286ms         0.15%      23.232ms     232.317us      25.948ms         0.18%      46.417ms     464.173us           0 B           0 B       4.47 GB    -671.07 MB           100  
                                          aten::dropout         0.01%       1.591ms         0.27%      42.218ms     105.546us       0.000us         0.00%      45.313ms     113.282us           0 B           0 B       5.23 GB           0 B           400  
                                   aten::native_dropout         0.07%      10.795ms         0.26%      40.627ms     101.568us      44.936ms         0.31%      45.313ms     113.282us           0 B           0 B       5.23 GB           0 B           400  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us      44.936ms         0.31%      44.936ms     112.340us           0 B           0 B           0 B           0 B           400  
                                              aten::mul         0.03%       5.207ms         0.06%       9.359ms      26.739us      44.163ms         0.31%      44.163ms     126.181us           0 B           0 B       3.52 GB       3.52 GB           350  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      44.061ms         0.31%      44.061ms     146.869us           0 B           0 B           0 B           0 B           300  
                                              aten::div         0.54%      84.849ms         0.87%     135.834ms      18.356us      39.802ms         0.28%      39.802ms       5.379us           0 B           0 B       3.74 GB       3.74 GB          7400  
autograd::engine::evaluate_function: NativeDropoutBa...         0.02%       3.217ms         0.11%      16.752ms      41.879us       0.000us         0.00%      38.705ms      96.762us           0 B           0 B       2.39 GB      -1.71 GB           400  
                                 NativeDropoutBackward0         0.01%       1.535ms         0.09%      13.535ms      33.838us       0.000us         0.00%      38.705ms      96.762us           0 B           0 B       4.11 GB           0 B           400  
                          aten::native_dropout_backward         0.03%       4.935ms         0.08%      12.000ms      30.000us      38.705ms         0.27%      38.705ms      96.762us           0 B           0 B       4.11 GB           0 B           400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      38.705ms         0.27%      38.705ms      96.762us           0 B           0 B           0 B           0 B           400  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      30.872ms         0.22%      30.872ms     102.908us           0 B           0 B           0 B           0 B           300  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.251ms         0.17%      24.251ms      12.125us           0 B           0 B           0 B           0 B          2000  
                                            aten::fill_         0.02%       2.926ms         0.04%       6.411ms      21.369us      23.412ms         0.16%      23.412ms      78.041us           0 B           0 B           0 B           0 B           300  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.412ms         0.16%      23.412ms      78.041us           0 B           0 B           0 B           0 B           300  
                                            aten::zero_         0.01%       1.223ms         0.04%       6.648ms      26.592us       0.000us         0.00%      23.311ms      93.243us           0 B           0 B           0 B           0 B           250  
                                            aten::zeros         0.01%       1.440ms         0.06%       9.122ms      45.608us       0.000us         0.00%      23.215ms     116.074us           0 B           0 B       5.06 GB           0 B           200  
                                         aten::addcmul_         0.28%      44.052ms         0.50%      78.300ms      15.058us      20.411ms         0.14%      20.411ms       3.925us           0 B           0 B           0 B           0 B          5200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.411ms         0.14%      20.411ms       3.925us           0 B           0 B           0 B           0 B          5200  
                                             aten::sqrt         0.39%      61.839ms         0.63%      98.681ms      18.977us      16.240ms         0.11%      16.242ms       3.124us           0 B           0 B       1.88 GB       1.88 GB          5200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      16.240ms         0.11%      16.240ms       3.123us           0 B           0 B           0 B           0 B          5200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.552ms         0.11%      15.552ms       2.880us           0 B           0 B           0 B           0 B          5400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      13.678ms         0.10%      13.678ms       2.605us           0 B           0 B           0 B           0 B          5250  
                                             aten::prod         0.20%      31.764ms         0.43%      67.551ms      33.775us      12.108ms         0.08%      12.108ms       6.054us           0 B           0 B    1000.00 KB           0 B          2000  
                                  reduction_prod_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.108ms         0.08%      12.108ms       6.054us           0 B           0 B           0 B           0 B          2000  
                                       cudaLaunchKernel         3.28%     513.189ms         3.98%     622.944ms       8.830us       0.000us         0.00%      11.682ms       0.166us           0 B           0 B           0 B           0 B         70546  
void at::native::(anonymous namespace)::compute_grad...         0.00%       0.000us         0.00%       0.000us       0.000us       9.757ms         0.07%       9.757ms     195.141us           0 B           0 B           0 B           0 B            50  
                                         aten::addcdiv_         0.17%      26.247ms         0.30%      46.443ms      14.513us       8.546ms         0.06%       8.546ms       2.671us           0 B           0 B           0 B           0 B          3200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.546ms         0.06%       8.546ms       2.671us           0 B           0 B           0 B           0 B          3200  
void at::native::(anonymous namespace)::sum_and_scat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.915ms         0.06%       7.915ms     158.305us           0 B           0 B           0 B           0 B            50  
                       Runtime Triggered Module Loading         1.11%     173.304ms         1.11%     173.304ms      10.832ms       6.945ms         0.05%       6.945ms     434.057us           0 B           0 B           0 B           0 B            16  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.329ms         0.04%       6.329ms       1.091us           0 B           0 B           0 B           0 B          5800  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.379ms         0.04%       5.379ms     107.579us           0 B           0 B           0 B           0 B            50  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us       5.367ms         0.04%       5.367ms      13.419us           0 B           0 B           0 B           0 B           400  
                                            aten::copy_         0.17%      26.085ms         3.29%     515.931ms     177.785us       4.843ms         0.03%       4.843ms       1.669us           0 B           0 B           0 B           0 B          2902  
                                  Lazy Function Loading         0.01%       1.020ms         0.01%       1.020ms      84.996us       4.481ms         0.03%       4.481ms     373.423us           0 B           0 B           0 B           0 B            12  
                                        aten::embedding         0.01%       1.801ms         0.07%      11.365ms     113.648us       0.000us         0.00%       4.197ms      41.973us           0 B           0 B     618.75 MB           0 B           100  
                                     aten::index_select         0.02%       2.796ms         0.06%       8.924ms      89.242us       0.000us         0.00%       4.197ms      41.973us           0 B           0 B     618.75 MB           0 B           100  
                                           aten::gather         0.01%       1.972ms         0.03%       4.026ms      40.260us       4.197ms         0.03%       4.197ms      41.973us           0 B           0 B           0 B           0 B           100  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       4.197ms         0.03%       4.197ms      41.973us           0 B           0 B           0 B           0 B           100  
                                             aten::item         0.05%       8.268ms        74.70%       11.702s       3.093ms       0.000us         0.00%       3.068ms       0.811us           0 B           0 B           0 B           0 B          3783  
                              aten::_local_scalar_dense         0.12%      19.521ms        74.65%       11.693s       3.091ms       3.068ms         0.02%       3.068ms       0.811us           0 B           0 B           0 B           0 B          3783  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       3.068ms         0.02%       3.068ms       1.427us           0 B           0 B           0 B           0 B          2150  
autograd::engine::evaluate_function: SelectBackward0...         0.00%     432.484us         0.03%       4.433ms      88.651us       0.000us         0.00%       3.009ms      60.188us           0 B           0 B     595.31 MB      -4.69 MB            50  
                                        SelectBackward0         0.00%     211.298us         0.03%       4.000ms      80.001us       0.000us         0.00%       3.009ms      60.188us           0 B           0 B     600.00 MB           0 B            50  
                                  aten::select_backward         0.00%     568.149us         0.02%       3.789ms      75.775us       0.000us         0.00%       3.009ms      60.188us           0 B           0 B     600.00 MB           0 B            50  
      autograd::engine::evaluate_function: AddBackward0         0.03%       4.171ms         0.04%       6.503ms      10.004us       0.000us         0.00%       2.931ms       4.510us           0 B           0 B      18.75 MB           0 B           650  
                                               aten::to         0.08%      12.581ms         3.54%     555.120ms      40.974us       0.000us         0.00%       2.692ms       0.199us       3.19 MB           0 B     126.63 MB           0 B         13548  
                                         aten::_to_copy         0.09%      14.721ms         3.46%     542.539ms     230.867us       0.000us         0.00%       2.692ms       1.145us       3.19 MB           0 B     126.63 MB           0 B          2350  
                                   volta_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us       2.483ms         0.02%       2.483ms      49.659us           0 B           0 B           0 B           0 B            50  
                                            aten::clone         0.01%       1.516ms         0.07%      11.094ms      31.788us       0.000us         0.00%       1.883ms       5.394us           0 B           0 B     154.25 MB           0 B           349  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.782ms         0.01%       1.782ms       5.092us           0 B           0 B           0 B           0 B           350  
                                       aten::contiguous         0.00%     756.115us         0.06%      10.096ms      33.654us       0.000us         0.00%       1.514ms       5.046us           0 B           0 B      56.25 MB           0 B           300  
                         volta_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.475ms         0.01%       1.475ms      29.505us           0 B           0 B           0 B           0 B            50  
                                  volta_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us       1.144ms         0.01%       1.144ms      22.880us           0 B           0 B           0 B           0 B            50  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.002ms         0.01%       1.002ms       0.501us           0 B           0 B           0 B           0 B          2000  
                                      aten::masked_fill         0.00%     421.064us         0.02%       3.139ms      64.063us       0.000us         0.00%     679.988us      13.877us           0 B           0 B      98.00 MB           0 B            49  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     634.265us         0.00%     634.265us      12.944us           0 B           0 B           0 B           0 B            49  
                         volta_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     604.342us         0.00%     604.342us      12.087us           0 B           0 B           0 B           0 B            50  
void at::native::reduce_kernel<256, 2, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     561.974us         0.00%     561.974us      11.239us           0 B           0 B           0 B           0 B            50  
