-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.24%     222.446ms         1.79%     320.057ms      41.033us        9.544s        56.49%        9.545s       1.224ms           0 B           0 B      55.34 GB      55.34 GB          7800  
    autograd::engine::evaluate_function: AddmmBackward0         0.19%      34.770ms         1.72%     306.824ms     161.486us       0.000us         0.00%        8.917s       4.693ms           0 B           0 B      -9.58 GB     -49.81 GB          1900  
                                         AddmmBackward0         0.12%      21.634ms         1.10%     197.074ms     103.723us       0.000us         0.00%        8.728s       4.594ms           0 B           0 B      40.22 GB           0 B          1900  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us        4.798s        28.39%        4.798s       1.297ms           0 B           0 B           0 B           0 B          3700  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us        4.531s        26.82%        4.531s       2.014ms           0 B           0 B           0 B           0 B          2250  
                                           aten::linear         0.07%      12.235ms         0.80%     143.035ms      75.281us       0.000us         0.00%        3.974s       2.092ms           0 B           0 B      31.65 GB           0 B          1900  
                                            aten::addmm         0.41%      73.732ms         0.55%      98.273ms      51.723us        3.974s        23.52%        3.974s       2.092ms           0 B           0 B      31.65 GB      31.65 GB          1900  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us        3.972s        23.50%        3.972s       2.206ms           0 B           0 B           0 B           0 B          1800  
                        Optimizer.step#rSVDSVTAdam.step         0.00%       0.000us         0.00%       0.000us       0.000us        2.195s        12.99%        2.195s      43.899ms           0 B           0 B           0 B           0 B            50  
                        Optimizer.step#rSVDSVTAdam.step         3.09%     551.987ms        12.80%        2.288s      45.770ms       0.000us         0.00%        1.290s      25.795ms           0 B     -15.63 KB           0 B     -20.91 GB            50  
