-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.24%     221.417ms         1.77%     315.869ms      40.496us        9.502s        56.47%        9.502s       1.218ms           0 B           0 B      55.28 GB      55.28 GB          7800  
                                            aten::empty         0.36%      63.354ms         0.37%      66.086ms       5.745us       0.000us         0.00%       0.000us       0.000us       3.41 MB       3.41 MB      42.87 GB      42.87 GB         11503  
                                            aten::addmm         0.41%      73.228ms         0.54%      96.834ms      50.965us        3.950s        23.47%        3.950s       2.079ms           0 B           0 B      31.65 GB      31.65 GB          1900  
                                             aten::gelu         0.03%       5.892ms         0.05%       9.565ms      31.882us     126.153ms         0.75%     126.153ms     420.508us           0 B           0 B      14.06 GB      14.06 GB           300  
                                    aten::gelu_backward         0.03%       4.649ms         0.04%       7.696ms      25.654us     182.379ms         1.08%     182.379ms     607.929us           0 B           0 B      14.06 GB      14.06 GB           300  
                                              aten::add         0.08%      14.257ms         0.12%      21.542ms      28.722us      99.585ms         0.59%      99.585ms     132.781us           0 B           0 B       7.62 GB       7.62 GB           750  
                                    aten::empty_strided         0.14%      24.608ms         0.14%      25.606ms       8.002us       0.000us         0.00%       0.000us       0.000us       3.19 MB       3.19 MB       5.31 GB       5.31 GB          3200  
                                              aten::div         0.48%      85.166ms         0.76%     135.751ms      18.345us      42.100ms         0.25%      42.103ms       5.690us           0 B           0 B       3.83 GB       3.83 GB          7400  
                                              aten::mul         0.03%       4.796ms         0.05%       8.684ms      24.811us      44.044ms         0.26%      44.044ms     125.841us           0 B           0 B       3.52 GB       3.52 GB           350  
                                             aten::sqrt         0.34%      60.752ms         0.54%      96.767ms      18.609us      18.425ms         0.11%      18.440ms       3.546us           0 B           0 B       1.96 GB       1.96 GB          5200  
