-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.13%      35.000us         0.13%      35.000us       1.094us       2.000us         0.03%       2.000us       0.062us           0 b           0 b           0 b           0 b            32  
void gemmk1_kernel<int, float, 256, 5, false, false,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.03%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         0.85%     236.000us         0.85%     236.000us       2.950us       0.000us         0.00%       0.000us       0.000us         224 b         224 b      20.00 Kb      20.00 Kb            80  
                                    aten::empty_strided         8.21%       2.289ms         8.21%       2.289ms      57.225us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      20.00 Kb      20.00 Kb            40  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                          aten::detach_         0.20%      56.000us         0.20%      57.000us       1.425us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                                detach_         0.00%       1.000us         0.00%       1.000us       0.025us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                       aten::as_strided         0.12%      33.000us         0.12%      33.000us       0.412us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80  
                                             aten::view         0.67%     188.000us         0.67%     188.000us       2.350us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80  
                                        aten::transpose         0.50%     140.000us         0.58%     163.000us       4.075us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                  cudaFuncGetAttributes         0.02%       6.000us         0.02%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                  cudaDeviceSynchronize         0.03%       7.000us         0.03%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.872ms
Self CUDA time total: 7.349ms
